word,frequency
born,19
histori,12
famou,35
person,293
julia,1
robert,5
love,783
good,351
lost,30
haha,932
nice,137
formspr,52
umm,126
want,453
text,52
talk,236
myspac,44
boygirl,1
scout,1
nope,160
uhmm,9
peopl,470
like,1181
quit,12
anonoym,1
say,120
jack,17
need,178
grow,23
pair,14
reall,3
cool,109
amberr,1
ahhahayeahh,1
don,411
sheep,3
shrink,2
rain,17
wow,63
comment,17
hilari,7
believ,130
happen,119
reason,56
purpos,7
found,34
michael,6
jackson,6
dead,28
way,218
work,150
drive,58
pretti,185
honestli,28
aww,174
thank,315
ton,7
money,75
option,9
live,160
world,92
long,103
whomev,1
choos,52
denmark,1
wife,22
facebook,49
tag,4
babe,29
look,239
smile,40
act,23
laugh,71
giggl,2
beauti,61
eye,70
bodi,36
sound,53
voic,16
warmth,1
hug,15
walk,76
kiss,94
lol,1193
singl,26
readi,26
mingl,1
yup,22
man,64
right,248
drama,12
think,821
dont,511
possibl,25
daydream,4
ashleigh,4
rebel,1
yeah,309
reali,5
okay,154
contract,2
cooliess,1
what,81
opinion,42
real,68
name,35
lmao,290
know,796
uhh,17
happi,112
wasn,33
dude,37
check,34
page,26
daili,9
creepi,10
damn,40
girlfriend,24
isn,31
codi,3
teehe,1
nervou,9
doctor,21
appoint,1
especi,18
fallen,10
hard,65
hurt,55
catch,9
end,76
get,102
wors,19
definit,42
chanc,25
relationship,65
probabl,128
best,162
find,111
concentr,6
feel,206
instead,10
will,7
let,118
involv,16
melt,5
away,59
easi,22
perus,1
easier,7
depend,75
strong,9
essay,6
answer,187
luck,9
weekend,32
havent,56
decid,20
watch,100
movi,110
cute,105
idiot,9
rambl,2
call,74
item,6
throw,16
hmmi,3
saw,37
got,206
mayb,112
father,9
muck,2
plant,6
seedless,1
watermelon,1
question,319
tell,229
toilet,6
paper,7
stuck,23
shoe,16
wouldnt,15
gift,18
receiv,17
violin,2
bday,1
boo,24
care,94
anymor,41
miss,139
minut,20
moo,15
lalu,3
outsid,32
poolsneakymi,1
friend,226
marinesmad,1
trane,2
swime,2
survi,1
guess,114
save,34
hehe,65
kindin,1
amplik,2
thief,1
new,81
thing,409
certainli,6
major,10
role,2
busi,30
execut,1
manag,15
steal,11
atheist,5
openli,2
billboard,1
etc,56
christian,5
religion,8
sure,119
constitut,4
free,34
speech,4
have,62
parti,50
notic,23
group,11
didnt,50
invit,11
leav,85
hey,147
sweeti,20
camp,12
hour,49
bring,28
year,175
famili,100
tennese,1
rude,13
student,4
wear,66
uniform,1
teacher,10
site,21
mad,40
sik,4
kyle,2
guy,119
lunch,10
davi,3
hmm,195
romant,17
aren,22
mathemat,1
respond,7
burn,11
hous,73
mean,203
pryce,4
uniqu,4
ask,275
today,103
usa,7
celebr,23
juli,4
countri,41
surround,3
sign,27
declar,1
indig,1
ratifi,1
law,17
coloni,1
whip,7
paid,8
accomplish,6
kind,161
truck,2
loand,1
dam,5
that,167
thought,162
nissan,1
patrol,1
alot,55
gota,8
cart,2
round,20
jimmi,5
crack,16
corn,7
song,123
marissa,1
dad,60
favourit,285
class,20
school,114
english,11
rate,13
lie,48
time,401
gener,27
yyess,1
cheesecak,11
woo,6
icecream,2
beseest,1
special,30
cohocl,1
syrup,1
aanndgummi,1
bear,10
wood,17
yeahh,9
tottal,1
vip,2
area,12
upstair,8
night,143
come,186
photo,12
stood,8
patient,4
wait,81
stop,95
tap,5
shoulder,7
start,90
finish,21
kaya,6
said,122
stair,7
room,43
run,30
fast,13
couldn,23
follow,56
later,28
hand,50
stand,34
tri,139
phone,64
knowar,1
shaki,2
multital,1
alphabet,2
qirl,2
cuhh,3
thaa,2
awe,1
gon,54
mee,3
chang,109
human,29
holi,12
childhood,6
game,31
hade,17
seek,2
fell,18
asleep,26
lmfao,87
spam,163
wont,30
continu,20
psychic,3
aint,19
meant,22
confus,17
happy,3
etern,3
tonight,40
height,8
centimet,1
standard,6
measur,2
inch,4
open,26
day,262
lock,8
door,14
lucki,12
seven,8
eleven,1
word,74
car,93
stolen,5
wonder,25
who,28
achiev,13
recent,14
surviv,7
colleg,16
home,81
infest,2
rid,8
inbox,32
send,56
add,24
read,77
fine,27
austin,4
difficult,14
hate,151
date,88
jami,2
cole,2
josh,1
wilk,1
ermm,18
tbh,3
spammer,2
stick,18
worri,33
blackmail,1
matter,38
didn,118
salsa,2
music,69
hugh,2
mix,11
big,71
fight,34
commun,12
breakdown,3
rethink,1
sleepi,3
ahead,11
nightmorningafternoon,1
hello,37
final,13
templ,4
massag,12
haven,35
pac,1
smoke,26
weed,3
pour,4
littl,121
liquor,2
store,19
ball,11
die,58
bad,104
caus,138
